IGNORE,4d7f8e953633a0933d33929d,4c50a9950ef3a593dff3b47a,4c518ecb3940be9ac8600c09,4c5c78af2815c928b628b267,4db1e0261e729fcc565c8903,4db3a54d5da3a76f442eeb4d,4ccb17ba566aa093d0a118fd,4eabf8f629c2152debf59ed2,502ecc49f1366d6c29421466,4bd46c445631c9b60b47a230,4b93cfa4f964a520dc5234e3,4ef74c9be5fa4f286b4be653,4d8799637e8ef04dcfa64abe,4e05cb2362e100e58164f4b0,4ce81098f1c6236a98745df0,4f80ffa7e4b01e69d787220c,4bdc52d1c79cc928d6fe85e9,5a16bcf318d43b3a0ca00d53,4fc4254de4b071420fb0ce57,4f777e15e4b0ca8cfd0ea752,4e17a97018a8166f73842f02,502b27dce4b095cd54ecf19b,4e0e89507d8bb178a8aa8ec6,52ce9c7c498eb505658f8840,507f19ed52622f097e451411,4f4c0fa9e4b05dbce9ca02d5,50805450e4b0948208c13cf1,54027ca4498e97b4650385bc,5190ea84498e133a487f6bc2,4d03c151347da1cd7a75278f,52079ac511d29b25c55e8a88,4e426cc6a8092520555402c8
38196962, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
4505415, , ,1,1, , , , ,1,1, , , , , , ,1, , , , , , , , , , , , , , ,
31271565, , ,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
21961394, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
94082174, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
121431689, , ,1, , , , , , , , , , , ,1,1, , ,1, , , , , , , , , , , , ,
35489731, , ,1, , , , , , , , , , ,1, , , , , , , , , , , , , , , , , ,
8850237, , ,1, ,1, , , ,1, , , , , , , , , , , , , , , , , , , , , , ,
88942264, , ,1, ,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , ,
150854787, , ,1, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,
19454340, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
97710809, , ,1, ,1, , , , , , ,1, , , , , , , , , , , , , , , , , , , ,
14636185, , ,1, ,1, , , ,1, , , , , , ,1, , , , , , , , , , , , , , , ,
26905191, , ,1, ,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , ,
164238660, , ,1, , , ,1, , , , , , , , , , , , , ,1, , , , , , , , , , ,
9907749, , ,1, , , ,1, , , , , , ,1, ,1, , , , , , , , , , , , , , , ,
73005519, , ,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
46921594, , ,1, , , , , , , , , , ,1, , , , , , , , , , , , , , , , , ,
86540703, , ,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , ,
105524809, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
113429102, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
48703482, , ,1, , ,1, , ,1, , , , , , , ,1, , , , , , , , , , , , , , ,
94706480, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
74655271, , ,1, ,1, , , , , , , , , , , , , ,1, , , , , ,1, , , , , , ,
5392042, , ,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
150414773, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
10922599, , ,1, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , ,
138620963, , ,1, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,
10879504, , ,1, , ,1,1, ,1, , ,1, , ,1,1, ,1, , , , , , , , , , , , , ,
120995180, , ,1, , ,1,1, ,1, , , , ,1, , , , , , , , , , , , , , , , , ,
22853164, , ,1, , , ,1, , , , , ,1, , , , , , , , , , , , ,1, , , , , ,
23033373, , ,1, , ,1, , , , , , , ,1, , , , , , , , , , , , , , , , , ,
139923220, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
11365428, , ,1, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,
34166359, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
42495890, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
47228125, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
74841852, , ,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , ,
45236473, , ,1, , ,1, , , , , ,1, , , , , , , , , , , , , , , , , , , ,
78514471, , ,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , ,
68889644, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
58685698, , ,1, , ,1, , , , , ,1, ,1,1, , ,1, , , , , , , , , , , , , ,
30550763, , ,1, , ,1, , , , , ,1, ,1,1, , ,1, , , , , , , , , , , , , ,
18545524, , ,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
13832021, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
131996176, , ,1, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,
11649850, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
111807841, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
105448294, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
22180426, , ,1, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,
32108290, , ,1, , , ,1, , , , ,1, ,1, , , , , , , , , , , , , , , , , ,
83587068, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
111079093, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
12937950, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
16616555, , ,1, , , ,1, ,1, , ,1, , ,1, , , , , , , , , , , , , , , , ,
42776432, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
5512526, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
78157217, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
104050591, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
10197260, , ,1, , ,1,1,1,1, , ,1,1, , ,1, ,1,1, , , , , ,1, , , , , , ,
89846702, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
88343836, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
71587310, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
56147243, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
10525710, , ,1, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,
78668082, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
48900070, , ,1, , , , , ,1, , ,1, , , , , , , , , , , , , , , , , , , ,
54399561, , ,1, ,1, , , ,1, , , ,1, , , , , , , , , , , , , , , , , , ,
72006359, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
57929532, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
44917503, , ,1, , , , , ,1, , ,1, , , , , , , , , , , ,1, , , , , , , ,
62776661, , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,
30686034, , ,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
62537690, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,1, , ,
12716809, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
58118874, , ,1, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,
50442465, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
53061785, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
27261659, , ,1, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,
27888796, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
50461027, , ,1, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,
47943998, , ,1, , , , , ,1, , , , ,1, , , , , , , , , , , , , , , , , ,
389364877, , , ,1, ,1, , , , , ,1, , , , , , , , , , , , , , , , , , , ,
78186837, , , ,1, ,1, , , , , , , , , , ,1, , , , , , , , , , , , , , ,
74324600, , , ,1,1, , , , ,1, , , , , , , , , , , , , , , , , , , , , ,
4505415, , , ,1, , , , ,1,1, , , , , , ,1, , , , , , , , , , , , , , ,
225816332, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,
8785254, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,
15741969, , , ,1, ,1, , , , , ,1, ,1, , , , , , , , , , , , , , , , , ,
10092993, , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
43993387, , , ,1, ,1, , , , , , , , , , , , , , , , , , , , , ,1, , , ,
18459307, , , ,1, , , , , ,1, , , ,1, , , , , , , , , , , ,1, , , , , ,
32786018, , , ,1, , , ,1,1, , , , , , , , , , , , , , , , , , , , , , ,
11535892, , , ,1,1, , , , , , ,1, , , , , , , , , , , , , , , , , , , ,
16856128, , , ,1,1,1, , ,1, , , , , , , , , , , , , , , , , , , , , , ,
88665131, , , ,1,1, ,1,1,1, , ,1,1,1,1,1, , , ,1, , , , , , , , , , , ,
3807280, , , ,1, ,1, , ,1, , ,1,1,1, , , , , , , , , , , , , , , , , ,
65505646, , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
43202091, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,
19658335, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,
67061575, , , ,1, , , , , , , , , , , , , ,1, , , , , , , , , , ,1, , ,
62776661, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,
37926781, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,
13498384, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,
48281045, , , ,1, ,1, , ,1, , , , ,1, , , , , , , , , , , , , , , , , ,
14883443, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,
7891961, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
36898157, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
10239261, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
92797544, , , , ,1,1, , , , , ,1, , , , , , , , , , , , , , , , , , , ,
71926307, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
27004862, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
328632975, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
6438190, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
74324600, , , , ,1, , , , ,1, , , , , , , , , , , , , , , , , , , , , ,
415948612, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
41656425, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
8682294, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
10092993, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
35100892, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
6168526, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
340557331, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
31271565, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
131296247, , , , ,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , ,
143788257, , , , ,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , ,
206542516, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
6177419, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
76469370, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
6580302, , , , ,1, , , , , , , , , , , , , , ,1, , , , , , , , , , , ,
26983954, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
14636185, , , , ,1, , , ,1, , , , , , ,1, , , , , , , , , , , , , , , ,
51824415, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
46621902, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
9822849, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
88275597, , , , ,1, , ,1, , , , , , , , , , , , , , , , , , , , , , , ,
73005519, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
87661338, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
102943156, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
26905191, , , , ,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , ,
66371023, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
8850237, , , , ,1, , , ,1, , , , , , , , , , , , , , , , , , , , , , ,
148051049, , , , ,1, , , ,1, , , , , , , , , , , , , , , , , , , , , , ,
83956083, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
84637233, , , , ,1, , ,1, , , , , , , , , , , , , , , , , , , , , , , ,
42823631, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
11535892, , , , ,1, , , , , , ,1, , , , , , , , , , , , , , , , , , , ,
142213557, , , , ,1, , ,1, , , , , , , , , , , , , , , , , , , , , , , ,
109951219, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
27592510, , , , ,1, , , , , , , , , , , , ,1, , , , , , , , , , , , , ,
51605442, , , , ,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , ,
82585408, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
16856128, , , , ,1,1, , ,1, , , , , , , , , , , , , , , , , , , , , , ,
28166077, , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , ,
88665131, , , , ,1, ,1,1,1, , ,1,1,1,1,1, , , ,1, , , , , , , , , , , ,
18545524, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
40645691, , , , ,1, , , , , , ,1, , , , , , , , , , , , , , , , , , , ,
81907638, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
98129615, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
5063803, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
69491021, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
128338192, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
5392042, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
14991659, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
33105273, , , , ,1, , , ,1, , , , , ,1, , , , , , , , , , , , , , , , ,
72235785, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
95781786, , , , ,1,1, , , , , ,1, , , , , , , , , , , , , , , , , , , ,
14278778, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
105118731, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
62776392, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
13625026, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
76439660, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
108732813, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
41695610, , , , ,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , ,
88942264, , , , ,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , ,
71918628, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
97710809, , , , ,1, , , , , , ,1, , , , , , , , , , , , , , , , , , , ,
8157381, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
92713789, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
36998920, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
55067265, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
38290855, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
74165129, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
25619278, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
59285266, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
9345261, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
76635300, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
50106583, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
59873593, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
44919427, , , , ,1,1, ,1, , , , , , , , , , , , , , , , , , , , , , , ,
9413904, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
60933920, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
6528800, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
18933112, , , , ,1, , , ,1, , , , , , , , , , , , , , , , , , , , , , ,
26107870, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
10803072, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
23586569, , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,1, , , ,
38699546, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
5871833, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
49969823, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
42818986, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
7329570, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
36902040, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
65505646, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
58294849, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
43218520, , , , ,1, , , ,1, , , , , , , , , , , , , , , , , , , , , , ,
62830316, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
60926377, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
38633815, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
55383447, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
54667357, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
20626343, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
55234896, , , , ,1, , , ,1, , , , , , , , , , , , , , , , , , , , , , ,
35763759, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
33420510, , , , ,1, , , ,1, , , , , , , , , , , , , , , , , , , , , , ,
13566977, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
62693908, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
5545687, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
7156883, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
35037368, , , , ,1, , , ,1, , , , , , , , , , , , , , , , , , , , , , ,
74655271, , , , ,1, , , , , , , , , , , , , ,1, , , , , ,1, , , , , , ,
1537804, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
49977003, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
52537032, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
32910365, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
6426251, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
33335255, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
54399561, , , , ,1, , , ,1, , , ,1, , , , , , , , , , , , , , , , , , ,
45996031, , , , ,1, , , , , , ,1, , , , , , , , , , , , , , , , , , , ,
13043271, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
30686034, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
35376247, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
37020967, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
51337279, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
54492442, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
54132748, , , , ,1, , , ,1, , , , , , , , , , , , , , , , , , , , , , ,
53955457, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
53369695, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
18741761, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
19198733, , , , ,1, , ,1,1, , , , , , , , , , , , , , , , , , , , , , ,
18519353, , , , ,1, , ,1,1, , , , , , ,1, , ,1,1, , , , , , , , , , , ,
21734315, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
28623001, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
11234071, , , , ,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , ,
28459549, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
41370223, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
37862183, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
36202985, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
29685060, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
30756154, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
427482196, , , , , ,1, , ,1, , , , , ,1, , , , , , , , , , , , , , , , ,
523150726, , , , , ,1, , , , , ,1, , , , , , , , , , , , , , , , , , , ,
57623681, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,
41631238, , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , ,
11613743, , , , , ,1, , , , , ,1, , , , , , ,1, , , , , , , , , , , , ,
59715182, , , , , ,1, , , ,1, , , , , , , , , , , , , , , , , , , , , ,
90180140, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,
389364877, , , , , ,1, , , , , ,1, , , , , , , , , , , , , , , , , , , ,
485772859, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,
335192303, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,
6219078, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,
107313936, , , , , ,1, , , , , , , , ,1, , , , , , , , , , , , , , , , ,
67951275, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,
100972149, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,
10068819, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,
35190016, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,
70030900, , , , , ,1, , , , , , , , ,1, , , , , , , , , , , , , , , , ,
82325419, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,
35011118, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,
78186837, , , , , ,1, , , , , , , , , , ,1, , , , , , , , , , , , , , ,
454885062, , , , , ,1, ,1, , , , , , , , , , , , , , , , , , , , , , , ,
28270428, , , , , ,1, , ,1, , , , , , , , , , , , , , , , , , , , , , ,
72048817, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,
56622505, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,
1629461, , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , ,
92797544, , , , , ,1, , , , , ,1, , , , , , , , , , , , , , , , , , , ,
472063597, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,
451039962, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,
461716799, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,
25490541, , , , , ,1, , , , , ,1, ,1, , , , , , , , , , , , , , , , , ,
19239396, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,
37321835, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,
18155240, , , , , ,1, , , , , ,1, , , , , , , , , , , , , , , , , , , ,
60791003, , , , , ,1, , , , , ,1, , , , , , , , , , , , , , , , , , , ,
404695267, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,
18327414, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,
104042693, , , , , ,1,1, , , , ,1, , ,1, , , , , , , , , , , , , , , , ,
27792777, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,
15293945, , , , , ,1, , , , , , , , ,1, , , , , , , , , , , , , , , , ,
1902150, , , , , ,1, , , , , ,1, , , , , , , , , , , , , , , , , , , ,
3933646, , , , , ,1, , ,1, , , , , , , , , , , , , , , , , , , , , , ,
14519949, , , , , ,1, , , , , ,1, , , , , , , , , , , , , , , , , , , ,
6137240, , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , ,
382913211, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,
97119557, , , , , ,1, , , , , ,1, , , , , , , , , , , , , , , , , , , ,
28697901, , , , , ,1, , , , , ,1, ,1, , , , , , , , , , , , , , , , , ,
67473375, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,
53742640, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,
90002993, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,
79147573, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,
65149963, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,
52251390, , , , , ,1, , , , , ,1, , ,1, , , , , , , , , , , , , , , , ,
15741969, , , , , ,1, , , , , ,1, ,1, , , , , , , , , , , , , , , , , ,
164173792, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,
87914641, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,
43993387, , , , , ,1, , , , , , , , , , , , , , , , , , , , , ,1, , , ,
132409675, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,
151600962, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,
16856128, , , , , ,1, , ,1, , , , , , , , , , , , , , , , , , , , , , ,
84849424, , , , , ,1, , , , , ,1, , , , , , , , , , , , , , , , , , , ,
21497367, , , , , ,1, , , , , ,1, , , , , , , , , , , , , , , , , , , ,
8912798, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,
78539437, , , , , ,1, ,1, , , , , ,1, , , , , , , , , , , , , , , , , ,
13378732, , , , , ,1,1, , , , ,1, , , , , , , , , , , , , , , , , , , ,
25978933, , , , , ,1, , , , , ,1, , , , , , , , , , , , , , , , , , , ,
78782755, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,
11804165, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,
32105364, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,
57788736, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,
74121236, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,
67649453, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,
10197260, , , , , ,1,1,1,1, , ,1,1, , ,1, ,1,1, , , , , ,1, , , , , , ,
54846153, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,
5449266, , , , , ,1, , , , , ,1, , , , , , , , , , , , , , , , , , , ,
23033373, , , , , ,1, , , , , , , ,1, , , , , , , , , , , , , , , , , ,
11365428, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,
6251871, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,
53633631, , , , , ,1, , , , , , , , , , , , ,1, , , , , , , , , , , , ,
1693144, , , , , ,1, , , , , , , ,1, , , , , , , , , , , , , , , , , ,
48721920, , , , , ,1, , , , , ,1, , , , , , , , , , , , , , , , , , , ,
45236473, , , , , ,1, , , , , ,1, , , , , , , , , , , , , , , , , , , ,
64066072, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,
120995180, , , , , ,1,1, ,1, , , , ,1, , , , , , , , , , , , , , , , , ,
